driverID,url,givenName,familyName,dateOfBirth,nationality,natflag,,,,,,,
aitken,http://en.wikipedia.org/wiki/Jack_Aitken,Jack,Aitken,23/09/1995,British,https://cdn.britannica.com/25/4825-004-F1975B92/Flag-United-Kingdom.jpg,,,,,,,
albon,http://en.wikipedia.org/wiki/Alexander_Albon,Alexander,Albon,23/03/1996,Thai,https://cdn.britannica.com/38/4038-004-111388C2/Flag-Thailand.jpg,,,,,,,
albon,http://en.wikipedia.org/wiki/Alexander_Albon,Alexander,Albon,23/03/1996,Thai,https://cdn.britannica.com/38/4038-004-111388C2/Flag-Thailand.jpg,,,,,,,
albon,http://en.wikipedia.org/wiki/Alexander_Albon,Alexander,Albon,23/03/1996,Thai,https://cdn.britannica.com/38/4038-004-111388C2/Flag-Thailand.jpg,,,,,,,
alguersuari,http://en.wikipedia.org/wiki/Jaime_Alguersuari,Jaime,Alguersuari,23/03/1990,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alguersuari,http://en.wikipedia.org/wiki/Jaime_Alguersuari,Jaime,Alguersuari,23/03/1990,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,https://cdn.britannica.com/36/4336-004-6BD81071/Flag-Spain.jpg,,,,,,,
ambrosio,http://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_d%27Ambrosio,Jérôme,d'Ambrosio,27/12/1985,Belgian,https://cdn.britannica.com/08/6408-004-405E272F/Flag-Belgium.jpg,,,,,,,
ambrosio,http://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_d%27Ambrosio,Jérôme,d'Ambrosio,27/12/1985,Belgian,https://cdn.britannica.com/08/6408-004-405E272F/Flag-Belgium.jpg,,,,,,,
barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,23/05/1972,Brazilian,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/640px-Flag_of_Brazil.svg.png,,,,,,,
barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,23/05/1972,Brazilian,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/640px-Flag_of_Brazil.svg.png,,,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,https://cdn.britannica.com/79/579-004-0EA4217C/Flag-Finland.jpg,,,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,https://cdn.britannica.com/79/579-004-0EA4217C/Flag-Finland.jpg,,,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,https://cdn.britannica.com/79/579-004-0EA4217C/Flag-Finland.jpg,,,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,https://cdn.britannica.com/79/579-004-0EA4217C/Flag-Finland.jpg,,,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,https://cdn.britannica.com/79/579-004-0EA4217C/Flag-Finland.jpg,,,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,https://cdn.britannica.com/79/579-004-0EA4217C/Flag-Finland.jpg,,,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,https://cdn.britannica.com/79/579-004-0EA4217C/Flag-Finland.jpg,,,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,https://cdn.britannica.com/79/579-004-0EA4217C/Flag-Finland.jpg,,,,,,,
