raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,millis,fastestLap,fastestLaptime,status
10,leclerc,ferrari,16,4,4,4,0,17,+11.278,1549704,16,1:30.163,Finished
10,norris,mclaren,4,6,5,5,0,17,+24.111,1562537,16,1:30.566,Finished
10,ricciardo,mclaren,3,7,6,6,0,17,+30.959,1569385,17,1:30.640,Finished
10,alonso,alpine,14,11,7,7,0,17,+43.527,1581953,17,1:31.773,Finished
10,vettel,aston_martin,5,10,8,8,0,17,+44.439,1582865,17,1:31.687,Finished
10,russell,williams,63,8,9,9,0,17,+46.652,1585078,17,1:32.208,Finished
10,ocon,alpine,31,13,10,10,0,17,+47.395,1585821,16,1:32.183,Finished
10,sainz,ferrari,55,9,11,11,0,17,+47.798,1586224,10,1:31.991,Finished
10,gasly,alphatauri,10,12,12,12,0,17,+48.763,1587189,17,1:32.072,Finished
10,raikkonen,alfa,7,17,13,13,0,17,+50.677,1589103,12,1:32.139,Finished
10,stroll,aston_martin,18,15,14,14,0,17,+52.179,1590605,12,1:32.210,Finished
10,giovinazzi,alfa,99,14,15,15,0,17,+53.225,1591651,14,1:32.457,Finished
10,tsunoda,alphatauri,22,16,16,16,0,17,+53.567,1591993,14,1:32.270,Finished
10,latifi,williams,6,18,17,17,0,17,+55.162,1593588,17,1:32.143,Finished
10,mick_schumacher,haas,47,19,18,18,0,17,+1:08.213,1606639,15,1:32.567,Finished
10,mazepin,haas,9,20,19,19,0,17,+1:17.648,1616074,3,1:33.462,Finished
14,norris,mclaren,4,4,4,4,0,18,+18.835,1692913,9,1:24.554,Finished
14,hamilton,mercedes,44,2,5,5,0,18,+20.011,1694089,9,1:24.253,Finished
14,leclerc,ferrari,16,8,6,6,0,18,+23.442,1697520,18,1:24.677,Finished
14,sainz,ferrari,55,7,7,7,0,18,+27.952,1702030,8,1:24.918,Finished
14,giovinazzi,alfa,99,10,8,8,0,18,+31.089,1705167,10,1:25.126,Finished
14,perez,red_bull,11,9,9,9,0,18,+31.680,1705758,12,1:24.211,Finished
14,stroll,aston_martin,18,12,10,10,0,18,+38.671,1712749,8,1:25.349,Finished
14,alonso,alpine,14,13,11,11,0,18,+39.795,1713873,8,1:25.225,Finished
14,vettel,aston_martin,5,11,12,12,0,18,+41.177,1715255,8,1:25.493,Finished
14,ocon,alpine,31,14,13,13,0,18,+43.373,1717451,8,1:25.613,Finished
14,latifi,williams,6,16,14,14,0,18,+45.977,1720055,9,1:25.711,Finished
14,russell,williams,63,15,15,15,0,18,+46.821,1720899,15,1:25.835,Finished
14,tsunoda,alphatauri,22,17,16,16,0,18,+49.977,1724055,18,1:25.847,Finished
14,mazepin,haas,9,20,17,17,0,18,+1:02.599,1736677,7,1:26.613,Finished
14,kubica,alfa,88,19,18,18,0,18,+1:05.096,1739174,12,1:26.772,Finished
14,mick_schumacher,haas,47,18,19,19,0,18,+1:06.154,1740232,7,1:26.819,Finished
19,perez,red_bull,11,3,4,4,0,24,+19.787,1769346,13,1:13.110,Finished
19,hamilton,mercedes,44,20,5,5,0,24,+20.872,1770431,5,1:12.357,Finished
19,norris,mclaren,4,7,6,6,0,24,+22.558,1772117,8,1:12.994,Finished
19,leclerc,ferrari,16,6,7,7,0,24,+25.056,1774615,4,1:13.140,Finished
19,gasly,alphatauri,10,4,8,8,0,24,+34.158,1783717,4,1:13.342,Finished
19,ocon,alpine,31,10,9,9,0,24,+34.632,1784191,11,1:13.615,Finished
19,vettel,aston_martin,5,11,10,10,0,24,+34.867,1784426,5,1:13.558,Finished
19,ricciardo,mclaren,3,8,11,11,0,24,+35.869,1785428,9,1:13.463,Finished
19,alonso,alpine,14,9,12,12,0,24,+36.578,1786137,4,1:13.397,Finished
19,giovinazzi,alfa,99,14,13,13,0,24,+41.880,1791439,11,1:13.627,Finished
19,stroll,aston_martin,18,15,14,14,0,24,+44.037,1793596,9,1:13.666,Finished
19,tsunoda,alphatauri,22,12,15,15,0,24,+46.150,1795709,11,1:13.747,Finished
19,latifi,williams,6,16,16,16,0,24,+46.760,1796319,7,1:13.934,Finished
